"TrustName.x","path_abx","fyear","nons"
"trust_1","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",57.6519021298736
"trust_2","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",33.6331205908209
"trust_3","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",34.732463140972
"trust_4","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",2.00243005529046
"trust_5","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",50.2813045633957
"trust_6","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",87.1043413644657
"trust_7","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",0.630078394897282
"trust_8","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",7.20571239944547
"trust_9","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",16.4211224997416
"trust_10","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",77.0334074273705
"trust_11","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",73.5184305813164
"trust_12","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",97.1875635674223
"trust_13","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",46.6472376836464
"trust_14","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",7.43845133110881
"trust_15","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",64.8818124318495
"trust_16","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",75.8593169506639
"trust_17","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",13.7106081005186
"trust_18","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",39.6584594622254
"trust_19","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",22.4985329201445
"trust_20","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",5.79585605300963
"trust_21","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",39.5892688306049
"trust_22","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",6.49282999802381
"trust_23","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",22.5886432919651
"trust_24","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",5.462910910137
"trust_25","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",67.0282039558515
"trust_26","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",29.7741782618687
"trust_27","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",10.0721582304686
"trust_28","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",7.19040972180665
"trust_29","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",88.0440568784252
"trust_30","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",75.4247402073815
"trust_31","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",81.6605887608603
"trust_32","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",98.2140373671427
"trust_33","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",10.3599644964561
"trust_34","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",9.90418293513358
"trust_35","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",79.8831611173227
"trust_36","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",78.4575266530737
"trust_37","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",0.942990509793162
"trust_38","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",77.9065882787108
"trust_39","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",72.9390651918948
"trust_40","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",63.0131852813065
"trust_41","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",48.0910829966888
"trust_42","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",15.663685137406
"trust_43","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",0.821551983244717
"trust_44","E. COLI_AMOXICILLIN/CLAVULANIC ACID","2016-2017",45.2458394225687
